Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
01.1002,filter - cabin - pollen,G2,4,17-07-2024 09:07:15,112.29
016488,HOUSG PLUG SEAL,G5,90,27-03-2025 09:30:48,30.46
02.2063,filter - air - panel,G2,2,17-07-2024 09:07:15,114.98
023308,WELCH-PLUG,G5,3,07-07-2022 09:50:44,0.01
023403,PLUG-CORE,G5,1,01-07-2024 08:24:19,0.01
031129,OIL DRAIN PLUG,G5,4,01-07-2024 08:24:19,0.01
031132,OIL DRAIN PLUG,g6,1,01-07-2024 08:24:19,0.01
031338,DRN PLUG GASKET,G5,14,27-03-2025 09:30:48,9.72
03C115561H,OIL FILTER,F4,1,02-04-2025 11:12:43,190.1
04105409AE,OIL FILTER ENGINE OIL,E7,17,17-12-2024 16:14:38,258.7
04318060GD,ADDITIVE AXLE,LUBRICANT,12,14-04-2025 16:16:02,197.31
04318067GB,LIQUID WINDSHIELD WASHER,LUBRICANT,24,28-10-2024 08:54:24,126.97
04318080GD,LIQUID BRAKE,LUBRICANT,12,05-05-2025 09:15:46,210.55
04549625GF,LIQUID BRAKE,LUBRICANT,11,28-10-2024 09:32:09,573.84
04593914AB,FILTERING ELEMENT AIR,E7,1,28-10-2024 09:34:06,228.35
04596198,PLUG RADIATOR,E7,2,11-04-2025 14:53:14,744.84
04673702AB,PROTECTION FLOOR PAN,SPECIAL ORDER,1,13-05-2025 11:41:07,745.08
04726067AB,FUEL FILTER FUEL/WATER SEPARATOR,E7,8,12-02-2025 15:04:31,1208.74
04781452BF,OIL FILTER ENGINE OIL,NO - BIN,12,24-04-2025 14:27:18,183.72
04782684AB,BUSHING STABILIZER BAR,(Blanks),2,08-04-2025 09:17:37,138.44
04861688AB,FILTERING ELEMENT AIR,E7,3,04-03-2025 10:59:02,604.49
04861756AA,FILTERING ELEMENT AIR,E7,2,06-05-2025 15:11:50,745.28
04884688AD,LEVEL ROD ENGINE OIL LEVEL,(Blanks),1,19-02-2025 13:50:11,65.86
04884899AC,OIL FILTER ENGINE OIL,E7,8,28-10-2024 11:04:57,226.94
04884899BC,OIL FILTER ENGINE OIL,E7,12,28-10-2024 11:04:57,165.85
04891176AA,FILTERING ELEMENT AIR,(Blanks),1,24-04-2025 14:38:23,381.3
04891596AC,FIXED TIGHTENER IDLER,E7,3,28-10-2024 11:04:57,377.48
04892339AB,OIL FILTER ENGINE OIL,unknown,1,04-03-2025 10:59:02,235.03
04892339BE,OIL FILTER ENGINE OIL,E7,24,14-04-2025 16:13:18,545.89
