Part No	Description	Bin Location 1	Stock	Last Receipt	Av Cost
1.1002	filter - cabin - pollen	G2	4	17-07-24 9:07	112.29
16488	HOUSG PLUG SEAL	G5	11	27-03-25 9:30	30.46
2.2063	filter - air - panel	G2	2	17-07-24 9:07	114.98
23308	WELCH-PLUG	G5	3	07-07-22 9:50	0.01
23403	PLUG-CORE	G5	1	01-07-24 8:24	0.01
31129	OIL DRAIN PLUG	G5	39	01-07-24 8:24	0.01
31132	OIL DRAIN PLUG	g6	1	01-07-24 8:24	0.01
04105409AE	OIL FILTER ENGINE OIL	E7	17	17-12-24 16:14	258.7
04318060GD	ADDITIVE AXLE	LUBRICANT	24	25-06-25 15:28	197.31
04318080GD	LIQUID BRAKE	LUBRICANT	22	05-05-25 9:15	210.55
04549625GF	LIQUID BRAKE	LUBRICANT	12	28-10-24 9:32	573.84
04593914AB	FILTERING ELEMENT AIR	E7	1	28-10-24 9:34	228.35
4596198	PLUG RADIATOR	E7	4	04-06-25 14:30	756.42
04726067AB	FUEL FILTER FUEL/WATER SEPARATOR	E7	11	12-02-25 15:04	1208.74
04781452BF	OIL FILTER ENGINE OIL	E8	12	24-04-25 14:27	183.72
04861688AB	FILTERING ELEMENT AIR	E7	4	04-03-25 10:59	604.49
04861756AA	FILTERING ELEMENT AIR	E7	2	06-05-25 15:11	745.28
04884688AD	LEVEL ROD ENGINE OIL LEVEL	JACQUES	1	19-02-25 13:50	65.86
04884899AC	OIL FILTER ENGINE OIL	E7	7	28-10-24 11:04	226.94
04891176AA	FILTERING ELEMENT AIR	E9	2	24-04-25 14:38	381.3
04891596AC	FIXED TIGHTENER IDLER	E7	3	28-10-24 11:04	377.48
04891721AB	TRANS BELT SERPENTINE	hang	1	21-05-25 14:43	422.02
04892339AB	OIL FILTER ENGINE OIL	E7	1	04-03-25 10:59	235.03
04892339BE	OIL FILTER ENGINE OIL	E7	21	14-04-25 16:13	545.89
05033307AE	SENSOR CRANKSHAFT POSITION	E7	1	22-05-25 14:21	1009.5
05033313AA	SENSOR COOLANT TEMPERATURE	E7	1	04-04-25 16:24	107.12
05033314AA	SENSOR TEMPERATURE	E7	1	04-04-25 16:24	126.58
05058492AE	FLEX. HOSE RADIATOR INLET	hang	2	21-05-25 14:43	1548.6
05058693AA	AIR FILTER CABIN AIR	E7	2	24-04-25 14:27	313.23
05136035GC	LUBRICANT	LUBRICANT	2	28-10-24 9:40	1397.88
05149077AB	SENSOR FLUID TEMPERATURE	E7	1	14-04-25 16:26	144.95
05184231AB	OIL FILTER ENGINE OIL	E8	11	14-04-25 16:26	306.09
05184296AH	ROCKER VALVE	JACQUES	1	13-05-25 12:01	182.16
05184332AA	REGULATING ASSY VALVE LASH	JACQUES	1	13-05-25 12:01	118.71
05191271AC	BRAKE    PAD-SET REAR DISC BRAKE	E7	1	24-04-25 14:27	1794.1
05278767AB	PLUG RADIATOR	E7	4	10-06-25 15:01	418.44
6503928	SCREW CONNECTING ROD	E7	6	10-06-25 15:04	16.36
06506100AA	PLUG OIL DRAIN	E7	3	14-04-25 16:26	220.63
06507741AA	PLUG OIL DRAIN	E7	10	21-05-25 14:43	153.73
06509422AA	NUT WHEEL	E7	3	15-01-25 14:52	105.27
06511051AA	STUD HEX HEAD	ALLAN	4	27-01-25 16:12	91
06513414AA	PLUG OIL DRAIN	E7	34	25-06-25 15:32	128.78
80678	SCREW WITH BASE	G5	2	08-08-23 14:04	0.01
0831T6	MOTOR KIT	WORKSHOP	1	08-08-23 14:04	0.01
1.00701E+13	V-RIBBED BELT	G1	1	17-01-25 8:46	402.03
1.00702E+13	OIL SEPARATION DEVICE	G1	1	17-01-25 8:46	148.06
1.01104E+13	OIL FILTER	G1	7	17-01-25 8:46	123.76
1.01304E+13	SPARK PLUG	G1	20	17-01-25 8:46	205.84
10261060	SEALING GASKET	E7	11	27-01-25 16:10	7.24
1034	GLOBE D/CONTACT	E1	2	07-05-25 14:06	4.84
1035	85W90- 1 liter Gear oil	LUBRICANT	42	16-05-25 11:37	135.88
1073	GLOBE S/CONTACT	E1	3	16-01-25 11:47	5.12
