Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
00705,INST CLUSTER GLB,G1,9,02-08-2023 14:14:46,9
025067,FIXING BOLT,D1,5,23-10-2024 15:03:01,15.01
038-211L,ISUZU MOULDED MATS,JUSTIN OFFICE,1,06-11-2024 15:43:20,3913.04
081833,CHAIN GUIDE,D1,1,09-05-2025 10:09:41,144.15
081840,CHAIN GUIDE,D1,1,09-05-2025 10:09:41,170.43
0890106,ANTI SQUEAK SPRAY,G1,2,15-08-2024 14:12:15,221.57
089309,SUPER GLUE WURTH BOTTLE,G1,4,07-05-2025 09:15:34,127.11
095147,SPRING RETAINER,D1,4,04-04-2025 16:08:17,51.24
10010086,SHAFT - FLANGED AXL,E4,1,04-04-2025 13:51:40,2627.07
10018952,CONNECTOR-ELECTRICA,F1,2,08-05-2025 14:18:21,113.24
10065127,COVER ASSY - CARRIE,D1,1,29-04-2025 10:33:24,2670.64
100KM,100KM/H DECAL,G1,10,09-04-2024 10:18:13,19.47
1034,GLOBE D,G1,40,02-05-2025 09:52:52,4.79
1073,GLOBE,G1,21,27-11-2024 12:10:00,5.12
1074,GLOBE AMBER,G1,30,06-09-2023 08:23:51,2.99
108558700,BOLT; AIR VLV,F1,4,10-03-2025 12:02:52,48.23
1090001210,BOLT; PROP SHAF,F1,62,03-01-2023 09:57:10,70.35
1090005820,BOLT; HUB TO AX,F1,10,05-07-2024 08:10:12,16.38
1090701201,BOLT- CHAIN GUIDE-L,F1,2,23-04-2025 15:15:32,27.71
1093330570,GROMMET; KEY BO,F1,4,28-06-2024 13:04:21,0.01
1093644070,"HOSE; FLEX,CLU CONT",F1,1,28-06-2024 13:04:21,0.01
1094000540,NUT- CENTER,F1,4,26-03-2025 12:41:51,46.79
1094000710,NUT; WHEEL PIN,F1,15,14-04-2025 14:25:20,55.55
1094200050,NUT TURBO,F1,4,07-05-2025 14:13:44,79.78
1094400391,NUT- U-BOLT -RR,F1,5,07-07-2022 09:05:40,0.01
1094400650,"NUT; WHEEL PIN,",F1,2,28-06-2024 12:46:55,66.04
1095330121,WASHER; LK FRT,F1,2,07-07-2022 09:05:40,0.01
1095560150,WASHER EXH MANIFOLD,F1,1,07-01-2025 14:00:38,76.28
1095833050,SPRING; CLU RET,F1,1,07-04-2025 13:30:00,104.71
1096250410,SEAL; OIL FRT HUB,F1,292,04-10-2024 14:24:16,122.18
1096252170,SEAL; OIL OUTPU,F1,1,07-04-2025 13:24:20,175.63
1096253220,"SEAL; OIL,FINAL",F1,1,21-01-2025 11:22:51,270.93
1096253312,"""SEAL; OIL,RR HUB,O",F1,8,10-03-2025 12:02:52,114.49
1096253500,"""SEAL; OIL,RR HUB,I",F1,10,14-04-2025 14:09:13,662.61
1096254441,"""SEAL; OIL,RR HUB,O",F1,10,19-03-2025 13:59:00,306.86
1096254840,SEAL- OIL- FINAL PI,F1,1,08-05-2025 14:53:29,324.24
1096255403,SEAL- OIL-CRANKSHAF,F1,1,14-02-2025 14:02:42,1018.73
1096255412,SEAL- OIL-CR/SHF-RR,F1,1,26-02-2025 14:58:17,970.84
1096255680,"""SEAL; OIL,FRT HUB""",F1,3,19-03-2025 14:28:36,211.29
1096255690,"SEAL; OIL,RR HU",F1,10,02-04-2025 14:17:33,171.91
1096256360,SEAL- OIL-FRT H,F1,5,28-06-2024 13:04:21,0.01
1096390340,GASKET; COVER,F1,13,21-02-2025 14:56:20,274.64
1097009661,CLIP; CONT CABL,F1,1,09-01-2025 11:49:05,71.08
1097071772,CLIP FAN COVER,Bulk,1,06-03-2025 13:46:13,315.69
1098002571,"BEARING; PILOT,TOP",F1,1,06-03-2025 13:59:07,316.62
1098121460,BEARING-HUB,F1,2,28-06-2024 13:04:21,0.01
1098122060,"""BEARING; HUB INNER",F1,1,06-03-2025 13:59:07,1601.33
1098122070,"""BEARING; HUB OUTER",F1,1,30-04-2025 13:45:29,1153.91
1098122180,BRNG PILOT,F1,1,07-07-2022 09:05:40,0.01
1099804950,BOLT; CLIP FIX,F1,11,04-07-2023 08:27:25,0.01
1099831740,CLIP,F1,1,08-05-2025 14:53:29,84.56
1099872481,FASTERNER; NOZZLE,F1,10,03-04-2024 16:26:56,26.1
11010612,KEY-CR/SHF SPKT,D1,1,02-05-2025 14:31:19,205.27
11018299,PIN-CM/SHF SPKT LOC(N00&L73)(DIA 4MMX9.2,D1,1,10-11-2023 14:38:34,22.57
11023582,DRAIN COKE WASHER,D1,139,19-06-2024 11:48:21,5.36
11093782,BOLT/SCREW-CM/SHF BR,D1,10,28-06-2024 13:04:21,0.01
11095AA123,BOLT AY-CYL HEAD,D8,12,28-06-2024 13:04:21,0.01
11102751,NUT-CTLTC CONV CRUZE,D1,2,28-06-2024 13:04:21,0.01
1125690191,SEAL; VLV GUIDE,F1,12,28-06-2024 13:04:21,0.01
1137700850,THERMOSTAT,F1,1,06-11-2024 15:24:31,777.66
11548379,BOLT,D1,3,24-05-2024 13:29:44,25.39
11609458,BOLT-FRT FOG LP BZL,D1,1,28-06-2024 13:04:21,0.01
11810AA090,VALVE COMPL-CONT,D8,1,28-06-2024 13:04:21,0.01
120020,PEUGEOT LANDTREK NUDGE BAR,ACCESSORY CONTAINER,1,21-04-2022 16:29:05,3280.38
120021,PEUGEOT LANDTREK SPORTS BAR,ACCESSORY CONTAINER,1,29-08-2024 11:39:54,5500
1212350110,FILTER; MICROBON OI,F1,5,12-02-2025 11:22:50,809.49
12625461,BOLT-CONN ROD-CLRDO-12,D1,1,19-02-2024 16:16:24,19.53
12625468,BEARING-CONN ROD CLRDO-13,D1,5,01-07-2024 12:42:40,508.79
12625481,BEARING-CONN ROD CLR,D1,8,28-06-2024 13:04:21,0.01
12661725,SEAL-EXH VLV STEM OI,D1,9,19-08-2024 10:35:39,64.42
12992338,BOLT/SCREW-CONN ROD,D1,8,01-04-2025 10:11:41,33.85
1304,GLOBE,G1,26,05-05-2025 15:16:19,5.2
1312408621,CLUTCH DISC ASM,C1,1,12-03-2025 11:39:49,3498.01
1313410482,FORK- SHIFT-CLU,F1,1,05-03-2025 15:02:30,812.16
13153249,O RING 13.87 X 3.53,D1,1,20-09-2023 14:56:21,0.01
1318242151,CLUTCH BOOSTER,F1,1,05-10-2023 14:18:49,0.01
13187363,COVER-PROTECTIVE W/H,CONTAINER,1,01-04-2025 10:11:41,2942.99
1323C5,WATER PIPE,D1,1,26-04-2023 14:35:31,196.47
1333721335,GEAR-DRIVEN SPEEDO,F1,1,29-09-2023 11:15:03,507.47
1333790080,GASKET; BUSHING,F1,1,18-03-2024 11:38:34,87.46
1335491240,BUSHING- QUAD BOX,F1,1,04-07-2023 08:27:25,0.01
1336194270,SEAT; BALL CHAN,F1,1,16-04-2025 13:49:08,82
1336194290,SEAT; CHANGE LE,F1,2,16-04-2025 13:49:08,152.42
1336194372,LEVER; SELECT,F1,1,07-07-2022 09:05:40,0.01
13368875,BRACKET RIGHT,D1,1,02-05-2025 14:38:13,223.05
1336J4,WATER OUTLET,D1,1,28-06-2024 13:04:21,0.01
1336Z1,HOUSING SEAL,D1,4,24-01-2024 14:12:43,41.13
13373508,LINER-FRT FENDER-RH,CONTAINER,1,02-05-2025 14:38:13,1447.95
13387155,EXTENSION L- ANTHRAC,E2,1,02-05-2025 14:38:13,3036.75
1338G5,THERMOST GASKET,D6,1,28-06-2024 13:04:21,0.01
13399232,ENERGY ABSORBER-FRT,E2,1,07-05-2025 15:44:57,1245.12
13402376,BAFFLE-RAD AIR UPR,E2,1,28-06-2024 13:04:21,0.01
13402386,BAFFLE ASM-RAD AIR S,E1,1,07-05-2025 15:44:57,846.47
134055,O-RING,D1,7,04-07-2023 08:27:25,0.01
13418686,GUIDE PIN KIT (FRT B,D1,1,20-09-2023 14:56:21,0.01
13419795,INSERT-FRT FOG LP OP,D1,1,07-05-2025 15:44:57,944.81
13419847,PANEL PKG-RR BPR VAL,E4,1,01-04-2025 10:11:41,1166.54
13454503,HOUSING ASM-RR T/SIG,D1,1,01-04-2025 10:11:41,3587.67
13469267,LAMP ASM-HIGH MT STO,C2,1,02-05-2025 14:36:49,1613.42
13502036,INSULATOR-RR S/D O/S HDL-CRUZE-17,D1,1,15-07-2022 12:50:59,31.46
13505773,BULB-HDLP POSN,D1,3,20-09-2023 14:56:21,0.01
13578283,LOCK ASM-RR S/D,D1,1,28-06-2024 13:04:21,0.01
1423130320,CAP- HUB-FRT AXLE,F1,1,06-03-2025 13:59:07,242.75
1423311062,PIN-WHEEL-RR RH,F2,24,22-09-2021 11:06:49,59.46
1423311121,PIN; WHEEL;FRT,F2,10,07-07-2022 09:05:40,0.01
1423321121,PIN; WHEEL FRT,F2,11,07-07-2022 09:05:40,0.01
1423330550,NUT; WHEEL;FRT,F2,9,08-05-2025 14:54:25,46.05
1423340223,NUT- WHL- FRT AXLE,F2,13,01-02-2021 08:22:33,40.02
