Part No,Description,Bin Location 1,Stock,Last Receipt,Av Cost
008901087,WURTH BRAKE CLEANER,10E,11,15-02-2025 09:47:18,74.66
01469-18,sump washer 2.2,13D,13,26-07-2024 11:04:30,17.46
016488,HOUSG PLUG SEAL,10E,12,27-06-2024 10:34:30,30.46
01937004015,POP RIVETS,11A,1,15-02-2025 09:47:18,166.33
031338,DRN PLUG GASKET,10E,14,24-01-2025 08:03:42,8.65
0469999001,DOWTY WAHER,13D,39,12-04-2022 08:08:56,8.94
05058492AE,FLEX HOSE RADIATOR,20A,1,13-05-2025 12:03:36,1548.6
0890104030,battery terminal spray red,10E,2,29-10-2024 08:00:08,129.64
0890104031,BATTERY TERMINAL SPRAY BLUE,10E,2,29-10-2024 08:00:08,138.44
0890106,ANTI SQUEEK SPRAY,10D,2,07-05-2024 08:36:32,190
0893221,silicone spray wurth,10E,5,15-02-2025 09:47:18,112.48
09210066,SCREW,13E,10,11-03-2025 10:02:46,2.17
09220016,SCREW,13E,10,11-03-2025 10:02:46,5.08
09320015,NUT,13E,2,11-03-2025 10:02:46,2.14
09330014,NUT,13E,10,11-03-2025 10:02:46,5.15
09630013,CLIP HAVAL H2,13D,10,24-10-2024 16:51:22,3.32
09640004,CLIP FRT BUMPER,13E,14,13-08-2024 11:51:22,3.2
09640019-CR,SPLASH SHIELD  CLIPS JOLIAN,13E,38,04-10-2024 15:38:31,5.5
09640031,CLIP,13E,14,13-03-2025 09:38:26,4.11
09650195,BALL HEAD LOCATION SEAT-P SERIES,13E,8,11-03-2025 10:02:47,7.62
1002031-ED01A,JOINT - HEATER RETURN PIPE 4D20,13E,1,22-03-2025 10:23:57,22.53
1003011-E00,SPARKING PLUG SLEEVE,13D,10,01-07-2024 10:14:47,0.01
1003011-ED01A-3,HOSE WATER,13D,3,27-10-2023 10:21:27,65.58
1003016-E00,CYLINDER HEAD BOLTS STEED 5,13E,4,19-10-2023 10:02:01,40
1003085-E00,TAPPET COVER GASKET STEED 2.2 MPI,13D,1,27-02-2025 08:26:30,47.68
1007011-ED01,VALVE INLET 4D20,20A,6,30-04-2025 08:49:07,75.9
1007012-ED01,EXHAUST VALVES,20C,1,30-04-2025 08:49:07,116.88
1007100-ED01,OIL SEAL VALVE STEM,13D,16,30-04-2025 08:49:07,27.09
1008100XEG08B,INTAKE MANIFOLD JOLION 1.5T,20A,1,24-10-2023 08:33:00,1300
1009101-EG01,GASKET OIL DRAIN PLUG,13D,49,03-03-2025 16:07:58,4.58
1009305xec06,SEALING WASHER P SERIES & 3RD GEN H6,13D,4,03-03-2025 16:07:58,21.18
1012020-E00,OIL FILTER 2.2MPI,14A,15,03-03-2025 16:07:58,47.65
1012110-E02,(1012110B-E02) OIL FILTER,14A,1,01-07-2024 10:14:47,0.01
1017100-ED01,OIL FILTER ASSY 4D20,14A,6,03-03-2025 16:07:58,187.1
1017100-ED01-1,OIL FILTER ASSY,14A,4,11-05-2023 08:17:03,171.72
1017100-EG01,OIL FILTER ASSYFLORID 1.5/H6 1.5T,14A,6,03-03-2025 16:07:58,83.67
1017100XEB02,OIL FILTER ASSY HAVAL H6 HEV,14A,1,13-05-2024 12:53:48,149.91
1017100XEC01,(1017100AEC01) OIL FILTER ASSY,14A,1,24-08-2023 11:26:43,258.69
1017103XEN01,OIL FILTER COVER H6,14A,2,22-05-2023 13:42:19,118.05
1017110XED95,FILTER ELEMENT REPLACEMENT COMPONENT-P SERIES,14A,13,24-04-2025 10:43:19,150.31
1017110XEN01,OIL FILTER-HAVAL 3RD GEN H6,14A,1,03-03-2025 16:07:58,226.85
1021013XED61,TIMING BELT P SERIES,13E,1,30-04-2025 08:49:07,1162.07
1021200XED61,TIMING BELT TENSIONER PSERIES,13E,1,30-04-2025 08:49:07,1786.95
1021700-ED01,IDLE GEAR ASSY 4D20,13D,1,12-10-2023 13:14:50,462.8
1021910XED61,ROLLER,13D,2,26-08-2024 13:48:18,532.89
1025100XEC06,BELT TENTIONER ASSY 4C20 2.0T,13E,1,01-07-2024 10:14:47,0.01
1034,GLOBE DOUBLE CONTACT,11A,23,30-04-2025 08:07:42,4.13
1073,GLOBE SINGLE CONTACT,11A,34,04-02-2025 16:59:57,4.22
10737,EXPANTION TANK,11C,1,18-12-2024 15:39:18,178.26
1101125XGW02A,FUEL FEED PIPE,14A,1,07-08-2024 10:33:01,306
1104300XJZ08A,FUEL INLET & RETURN PIPEASSYFUEL TANK,20A,1,01-07-2024 10:14:47,0.01
1104400XSZ08B,FUEL INLET & RETURN PIPE ASSY FUEL TANK,20A,1,01-07-2024 10:14:47,0.01
1105010-D01,FUEL FILTER ASSY,14A,5,17-02-2025 12:11:29,87.25
1105100AKZ16A,FUEL FILTER NO.2 H6 4D20,14A,7,06-10-2021 17:15:53,382.41
1105102-E06,FUEL FILTER ASSY H6 4D20/WGT,14A,3,06-10-2021 17:15:53,274.7
1105103-P00,FUEL FILTER FUEL CLEANER,14A,3,12-11-2024 09:06:37,139.47
1105110-E06,DIESEL FILTER ASSY,14A,4,11-09-2024 16:52:18,491.58
1109100XSZ08A,AIR CLEANER ASSY  COMPL HSNG H2,BULK,7,21-09-2023 13:18:27,200
1109101-K08,AIR FILTER STEED 5 2.2MPI,14B,9,17-02-2025 12:11:29,173.25
1109101-K80,AIR CLEANER FILTER ASSY HOVER 5,14B,2,30-12-2022 09:08:17,200.14
1109101XGW01A,ELEMENT AIR FILTER-HAVAL 3RD GEN H6,14B,3,12-12-2024 12:05:36,278.6
1109102-K00,AIR FILTER ELEMENT HOVER,14B,1,26-07-2024 11:04:30,209.88
1109104-K00-J,"AIRCLEANER ASSY, AIRFILTER",14B,1,18-02-2025 11:12:03,179.21
1109104XGW02A,AIR FILTER ELEMENT-HAVAL JOLION HIGH VERSION,14B,2,11-03-2025 10:02:47,215.5
1109107XGW01A,AIR FILTER ASSY 3RD GEN H6,BULK,3,04-10-2024 14:27:06,1081.09
1109107XGW02A,AIR FILTER JOLION HEV,14B,1,11-03-2025 10:02:47,340.27
1109110-P64,AIR FILTER ASSY STEED 4D20,14B,2,11-09-2024 16:52:18,185.49
1109110XKZ16A,AIR FILTER CLEANER H6 4D20,14B,3,15-03-2023 07:55:57,274.81
1109110XP64,AIR FILTER ELEMENT STEED 5,14B,1,18-02-2025 11:12:03,364.45
1109110XP64XA,AIR FILTER STEED 5,14B,9,11-09-2024 16:52:18,295.84
1109110XP6EXA,AIR FILTER ELEMENT P SERIES COMM VERSION AND PASS,14B,10,11-03-2025 10:02:47,246.76
11093782,BOLT/SCREW-CM/SHF BR,12A,5,01-07-2024 10:14:47,0.01
1109AL,OIL FILTER (W),10A,11,04-04-2025 11:24:54,122.95
1111102XED95,High Pressure Fuel Pump Cover,13E,17,01-07-2024 10:14:47,0.01
1111400XED95,FUEL FILTER HOUS ASSY P SERIES,14A,1,25-11-2024 12:23:49,1401.59
1111400XED96,FUEL FILTER ASSY P SERIES,20C,1,02-12-2024 14:30:20,1804.97
1111402AED01,FUEL FILTER H5 4D20,14A,4,04-10-2024 14:27:06,588.8
1111402XED95,FUEL FILTER P-SERIES,14A,8,03-03-2025 16:07:58,511.61
1111402XED96,FUEL FILTER ELEMENT P SERIES,14A,3,11-09-2024 16:52:18,553.23
1117011XKW09A,FUEL FILTER BRACKET H2,13E,1,01-07-2024 10:14:47,0.01
1117100XKW09A,FUEL FILTER ASSY4C20 2.0T,14A,5,06-10-2021 17:15:53,136.54
1123101XGW02A,ELECTRONIC FUEL PUMP AND FUEL SENSOR ASSY,20C,1,19-06-2023 08:53:54,2215.44
1123101XPW01A,SENSOR ASSY ELEK FUEL PUMP AND LEVEL SENSOR P SERI,BULK,1,20-09-2023 13:37:02,3372.68
1130140XGW02A,DESORPTION PIPE,BULK,1,02-08-2024 15:38:21,466.3
1132102XGW02A,AIR FILTER INTAKE TUBE,20A,1,01-07-2024 10:14:47,0.01
1132109XGW01A,AIR INLET PIPE HAVAL H6 3RD GEN,20A,1,15-03-2025 11:20:39,50
11480,RADIATOR CAP,11A,1,04-11-2024 09:52:32,49.3
11547083,CLAMPRAD INL HOSE,10C,1,10-11-2022 11:08:53,20.8
1205200XP55XA,FR SECTION CATALYTIC CONV,20B,2,17-02-2025 12:11:29,5245.05
12375,RADIATOT CAP,11A,2,02-08-2024 08:56:18,82.61
12538938,BATTERY  R/CON DR  IMPALA-18/MULTI,12A,14,06-05-2025 14:13:32,31.74
12616850,DRN PLUG GASKET,10E,11,15-04-2025 10:03:40,121.49
12673056,SEAL KIT-F/INJR (O R,12A,3,01-07-2024 10:14:47,134.88
12707589,WATER INTK TANK,20C,1,04-03-2025 10:38:28,1950.16
12731179,OIL FILTER,10A,1,31-01-2025 14:24:38,310.82
12992403,BOLT-CM/SHF SPKT CRUZE-17/MULTI,12A,2,11-03-2025 08:42:24,175.27
1301130XGW02A,RADIATOR,BULK,1,24-04-2025 10:43:17,4365.42
1308101XGW02A,FAN ASSY RAD JOLION,BULK,1,24-04-2025 10:43:17,3980.89
1311100-P00,EXPANTION TANK ASSY STEED 5,20B,1,15-10-2024 15:16:18,93.23
13278000,BULB - DAYTIME RUNNING LIGHT . ( W21/5W),11A,1,24-12-2024 11:51:03,17.6
13444224,BRACKET ASM-TRANS MT,12A,1,23-04-2025 15:21:10,2073.65
13544913,VALVE PLUG,12A,1,08-05-2025 08:50:52,828.85
13579526,LOCK ASM-FRT S/D,12A,1,01-07-2024 10:14:47,0.01
150200212,COVER PLATE SUB ASSY JOLION,20B,1,01-07-2024 08:46:33,645.27
15942429,ELEMENT ASM-A/CL (*,12A,3,03-10-2024 12:24:18,639.6
15GW05CPA,STEED S/C REAR STEP TOWBAR,BULK,1,01-08-2023 11:35:23,3530.09
1601001XPW01A,CLUTCH ASSY,15A,1,04-01-2023 10:25:06,4054.21
1601040ACM63A,BLEED VALVE JOINT-H2/H6C MT,13D,1,01-07-2024 10:14:47,0.01
1616399880,OIL FILTER,10A,3,28-03-2023 08:44:43,147.31
1618083280,REAR BUMPER,BULK,1,01-07-2024 10:14:47,0.01
1642340880,FLAT BLADE,WALL,3,01-07-2024 10:14:47,0.01
1648212080,E:TIMING KIT,12A,1,04-01-2025 11:59:10,1146.85
1648407180,E:PLUG ERP 60,11A,8,04-01-2025 11:57:14,190.93
1654509380,SPARK-PLUG,11A,18,06-05-2025 14:13:32,296.22
1680024580,BRACKET SET,20A,1,01-07-2024 10:14:47,0.01
1682953480,E:OIL FILTER,10B,1,04-04-2024 08:42:08,56.83
1682953580,E:OIL FILTER,12A,2,04-01-2025 12:00:29,104.35
1800101XPW01A,TRANSFER BOX ASSY P-SERIES,BULK,1,10-07-2023 11:56:27,9568.12
1876100641,ELEMENT; OIL FILTER,10A,5,10-03-2025 09:56:02,343.97
1876100934,ELEMENT; FUEL FILTE,10A,18,10-03-2025 09:56:02,221.84
1876100942,ELEMENT; FUEL FILTE,10A,19,01-04-2025 08:44:00,468.6
1876102390,BELT; COOLING FAN 1,WALL,1,05-05-2025 08:20:39,277.37
1876102760,ELEMENT; FUEL FILTE,17J,1,13-12-2024 10:03:41,193.91
1877020110,BESCO LLC SUPER TYP,11B,3,11-02-2025 07:51:34,231.63
1878307210,CUP SET RR WHEEL CY,12A,2,12-03-2025 09:58:33,760.36
19315209,FILTER- OIL TERRAIN-17/MULTI {FA-SC},10A,4,04-04-2025 11:24:54,105.94
19348771,ELEMENT- OIL FLTR TB-13-19,10A,3,04-04-2025 11:24:54,122.2
19348774,FILTER- FUEL TB-13-19T,10A,3,24-01-2025 08:03:42,434.23
2003539,BOLT - WHEEL,12A,96,10-03-2025 09:56:02,15.28
2003539A,WHEEL STUD,12A,5,02-07-2024 16:21:56,30
2019495-2,SHAFT - FLANGED AXL,BULK,1,31-12-2024 11:11:57,2175.24
2403102-K00,REAR WHEEL BOLT HOVER/STEED,13D,2,27-12-2023 14:11:56,18.63
24578614,REAR CRANK OIL SEAL,12A,1,13-05-2025 09:22:11,335.14
24581894,GASKET-CM/SHF HSG CVR,12A,2,17-01-2025 08:34:48,69.34
25183772,TENSIONER-TMG BELT CRUZE-17/MULTI,12A,1,04-04-2025 11:22:21,520.8
25190619,HOUSING-SHFT CONT CRUZE-11-13,20C,1,06-08-2024 09:20:18,8969.66
25191263,PULLEY ASM-BELT IDLER,12A,1,04-04-2025 11:22:21,651.1
25193473,SPARK PLUG ASM CRUZE,11A,12,04-04-2025 11:24:54,107.69
271019910-1L,7DCT GEARBOX OIL JOLION & 3RD GEN H6,11B,7,23-12-2024 12:34:05,479.73
2802101-k84,ENGINE LOWER AIRGUIDE STEED 5 4D20,BULK,1,12-12-2024 13:49:30,576.78
2803101XST01A,"BRKT ASSY, FR BUMPER, LH HAVAL JOLION",14D,1,30-04-2025 08:49:07,54.25
2803102XST01A,R FRT OUTER BUMPER BRACKET,BULK,1,22-01-2025 17:37:22,54.25
2803102XST13B,TRIM,[Unknown],2,24-04-2025 10:43:17,1071.38
2803103XPW13A,GRILL FR BUMPER LWR LH P SERIES CV,20A,1,28-08-2024 16:44:31,79.95
2803103xst13b,FR BUMPER TRIM RH JOLION,20A,1,24-04-2025 10:43:17,1071.38
2803104XPW13A,GRILLE FR BUMPER RH P SERIES CV,20A,1,27-12-2023 13:55:54,77.62
2803105XP1MBA,TRIM PANEL FR FOG LAMPLH STEED 5 EURO FACELIFT 17,BULK,2,12-12-2024 13:49:30,160.54
2803106XP1MBA,TRIM PANEL FR FOG LAMP RH STEED 5 F/LIFT,20A,1,08-07-2024 13:48:55,160.54
2803106XST01A,BUMPER LWR FR-HAVAL JOLION,BULK,1,27-10-2023 10:21:27,825.26
2803110XST13A,WELDING ASSY FR BUMPER JOLION,BULK,2,24-04-2025 10:43:17,4082.47
2803111XST01A,COVER FRONT TRAILOR HOOK JOLION,14D,1,24-04-2025 10:43:17,18.9
2803118XST13A,LWR BUMPER GRILLE,BULK,2,24-04-2025 10:43:17,3368.31
2803119XST33AJ8,HOOD ASSY RH FR FOG LAMP JOLION,20A,1,24-04-2025 10:43:17,1493.58
2803131XST01A,FRONT BUMPER LOWER GRILLE JOLION,BULK,1,22-01-2025 17:37:22,1288.7
2803132XST01A,BRACKET FR BUMPER JOLION,20A,2,03-07-2023 14:07:03,87.84
2803132XST02A,BRACKET FRONT BUMPER RH JOLION PRO,20B,1,24-04-2025 10:43:17,173.07
2803134XST01A,BRKT ASSY FR BUMPER RH JOLION,13E,1,03-07-2023 14:07:03,87.84
2803134XST02A,BRKT ASSY FR BUMPER RH JOLION PRO,20B,2,06-03-2025 16:55:10,213.21
2803140XST01A,BUMPER SUB ASSY FR HAVAL JOLIONW/OUT FR RADAR PROB,BULK,1,22-01-2025 17:37:22,2844.6
2803145XKN03A,LOWER GRILLE FR BUMPER 3RD GEN H6,20B,1,16-09-2024 09:06:00,730.28
2803150XST02A,STIFFENER FR BUMPER LH,20A,1,24-04-2025 10:43:17,239.05
2803160XST02A,STIFFENER FR BUMPER RH,20A,1,06-03-2025 17:13:59,294.48
2803168XST01B,FR BUMPER LOWER JOLION,BULK,2,24-04-2025 10:43:17,3053.41
2803169XST01A,PANEL FRONT BUMPER TRIM JOLION,20A,1,24-04-2025 10:43:17,909.99
2803211-P24A,L/FRONT BUMPER SLIDE STEED,13E,1,07-02-2025 17:26:47,38.37
2803212-P24A,R/FRONT BUMPER SLIDE STEED,13E,1,07-02-2025 17:26:47,38.5
2803212XS56XA,FR BUMPER TOW CVR M4 FACELIFT H1,13E,1,06-03-2025 17:02:01,26.24
2803247XST01A,MLDNG FR BUMPER LH,20A,1,22-01-2025 17:37:22,547.08
2803248XST01A,MLDNG FR BMPR RH,20A,1,22-01-2025 17:37:22,547.08
2803254XST01A,FR BUMPER COVER,BULK,1,22-01-2025 17:37:22,861.56
2803285XST01A,HOOD ASSY RH FR FOG LAMP JOLION,20A,1,22-01-2025 17:37:22,724.07
2803301XGW01A,FR ENERGY ABSORBER H6,20B,1,19-07-2024 13:50:24,364.95
2803400XGW01A,FR BUMPER CARRIER LWR H6,BULK,1,19-07-2024 13:50:24,1511.45
2803400XGW02A,"ANTIC BEAM ASSY, FR JOLION",20A,1,30-04-2025 08:49:06,1993.43
2804012XS56XA,MUDGUARD REAR BUMPER RH H1,20A,1,28-10-2024 15:08:20,39.77
2804101XPW04A,PEDAL ASSY RR BUMPER P SERIES PASS VERSION,BULK,1,01-07-2024 10:14:47,0.01
2804101XS56XA,REAR BUMPER ASSY M4/H1,BULK,1,01-07-2024 10:14:47,0.01
2804103XS56XA,TRIM PANEL REAR BUMPER LH M4,13D,2,01-07-2024 10:14:47,0.01
2804104XS56XA,TRIM PANEL REAR BUMPER RH M4,13D,1,01-07-2024 10:14:47,0.01
2804108XKN03A,LR LWR BPR CVR,20A,1,22-03-2025 10:23:57,484.76
2804109XKN03A,CVR LWR BPR RH,20A,1,22-03-2025 10:23:57,484.76
